Менеджер по продажам оборудования;Екатеринбург;АльянсКомплект;Холодные продажи, Работа с возражениями, Работа с дебиторской задолженностью, Аналитика продаж, работа с текущей базой клиентов, Поиск и привлечение клиентов, Активные продажи, Ведение переговоров, Пользователь ПК, 
Менеджер по работе с клиентами;Екатеринбург;ГЦН АЛЬФА;Навыки переговоров, Навыки продаж, Телефонные переговоры, Работа в команде, Пользователь ПК, Поиск и привлечение клиентов, Грамотная речь, Работа с большим объемом информации, 
Врач-педиатр участковый;Екатеринбург;Первая детская поликлиника;Педиатрия, 
Инженер Linux/Unix;Екатеринбург;МОТИВ, телекоммуникационная группа;Linux, Unix, DNS, NFS, Nginx, Active Directory, VMware, TCP/IP, Администрирование серверов Linux, 
Senior JavaScript Developer;Екатеринбург;DataArt;JavaScript, AngularJS, HTML5, CSS, CSS3, 
Врач-нефролог;Екатеринбург;ГАУЗ СО Областная детская клиническая больница;
Кладовщик / Комплектовщик;Заречный (Свердловская область);Пятёрочка;
Специалист по выдаче займов;Североуральск;Микрокредитная компания Касса Взаимопомощи Пятый Элемент Деньги;Коммуникабельность, Активные продажи, Навыки межличностного общения, Поиск и привлечение клиентов, позитивность, 
Полицейский оперативной роты;Нижний Тагил;5 рота Полка ППСП УМВД России по г. Екатеринбург;
Кладовщик / Комплектовщик;Ирбит;Пятёрочка;
Инженер по электрохимической обработке (Инженер-технолог по гальванике);Екатеринбург;Завод №9;
Врач педиатр паллиативной помощи;Екатеринбург;ГАУЗ СО Областная детская клиническая больница;
Водитель категории Е;Екатеринбург;Деловые Линии;
Кладовщик / Комплектовщик;Бобровский;Пятёрочка;
Заведующий отделением анестезиологии, реанимации и трансплантации костного мозга (ОАРиТКМ);Екатеринбург;ГАУЗ СО Областная детская клиническая больница;
Водитель такси;Серов;Подключение водителей к сервису Максим;Водительское удостоверение категории B, Водительское удостоверение категории BC, Автомобильные перевозки, Личный автомобиль, 
